station_id,name,status,address,district,modified_date
1003,8th & Guadalupe,closed,800 Guadalupe St.,9,2021-01-04 12:00:00.000000 UTC
1006,Zilker Park West,closed,Barton Springs Rd,8,2021-01-04 12:00:00.000000 UTC
1008,Nueces @ 3rd,closed,311 Nueces,9,2021-01-04 12:00:00.000000 UTC
2500,Republic Square,closed,425 W 4th Street,9,2021-01-04 12:00:00.000000 UTC
2536,Waller & 6th St.,closed,602 Waller St.,3,2021-01-04 12:00:00.000000 UTC
2538,Bullock Museum @ Congress & MLK,closed,1881 Congress Ave.,1,2021-01-04 12:00:00.000000 UTC
2541,State Capitol @ 14th & Colorado,closed,206 W. 14th St.,1,2021-01-04 12:00:00.000000 UTC
2545,ACC - Rio Grande & 12th,closed,700 W. 12th St.,9,2021-01-04 12:00:00.000000 UTC
2546,ACC - West & 12th Street,closed,1231 West Ave.,9,2021-01-04 12:00:00.000000 UTC
2564,5th & San Marcos,closed,991 East 5th,3,2021-01-04 12:00:00.000000 UTC
2576,Rainey @ River St,closed,64 Rainey St,9,2021-01-04 12:00:00.000000 UTC
2712,Toomey Rd @ South Lamar,closed,1301 Toomey Road,5,2021-01-04 12:00:00.000000 UTC
3381,East 7th & Pleasant Valley,closed,2772 E 7th,3,2021-01-04 12:00:00.000000 UTC
3464,Pease Park,closed,1155 Kingsbury St,9,2021-01-04 12:00:00.000000 UTC
1002,6th & Navasota St.,closed,1308 W. 6th St.,3,2021-01-04 12:00:00.000000 UTC
1007,Lavaca & 6th,closed,601 Lavaca St.,9,2021-01-04 12:00:00.000000 UTC
1004,Red River & LBJ Library,closed,2322 Red River Street,1,2021-01-04 12:00:00.000000 UTC
1005,State Parking Garage @ Brazos & 18th,closed,1789 Brazos St.,1,2021-01-04 12:00:00.000000 UTC
2502,Barton Springs & Riverside,closed,400 Barton Springs Rd.,9,2021-01-04 12:00:00.000000 UTC
1001,OFFICE/Main/Shop/Repair,closed,1000 Brazos,1,2022-03-04 09:58:00.000000 UTC
3687,Boardwalk West,active,300 E. Riverside Dr.,9,2021-01-04 12:00:00.000000 UTC
3684,Congress & Cesar Chavez,active,124 W Cesar Chavez St,9,2021-01-04 12:00:00.000000 UTC
2572,Barton Springs Pool,active,2200 William Barton Dr.,8,2021-01-04 12:00:00.000000 UTC
2575,Riverside @ S. Lamar,active,Presented by Austin Parks Foundation,5,2021-01-04 12:00:00.000000 UTC
2574,Zilker Park,active,Barton Springs Rd,8,2021-01-04 12:00:00.000000 UTC
2707,Rainey St @ Cummings,active,1 Rainey St,9,2022-03-04 10:38:00.000000 UTC
11,22nd 1/2 & Rio Grande,active,710 W. 22 1/2 St,9,2021-11-04 02:24:00.000000 UTC
4047,8th & Lavaca,active,750 Lavaca Street,9,2021-01-04 12:00:00.000000 UTC
2503,South Congress & James,active,Presented by The Austin Chronicle,9,2021-01-04 12:00:00.000000 UTC
2570,South Congress & Academy,active,1199 S. Congress Ave.,9,2021-01-04 12:00:00.000000 UTC
4699,East 5th/Shady @ Eastside Bus Plaza,active,5104 East 5th. Street,3,2021-07-27 08:25:00.000000 UTC
2565,Trinity & 6th Street,active,606 Trinity Street,9,2021-01-04 12:00:00.000000 UTC
3291,11th & San Jacinto,active,310 E. 11th St.,1,2021-01-04 12:00:00.000000 UTC
3619,6th & Congress,active,600 Congress Ave.,9,2021-01-04 12:00:00.000000 UTC
2539,Convention Center / 3rd & Trinity,active,212 Trinity,9,2021-01-04 12:00:00.000000 UTC
2542,Plaza Saltillo,active,1501 E. 5th St.,3,2021-01-04 12:00:00.000000 UTC
3294,Lavaca & 6th,active,601 Lavaca St.,9,2022-03-04 10:21:00.000000 UTC
1111,13th & Trinity,active,910 Trinity Street,1,2021-11-04 02:12:00.000000 UTC
2549,Long Center @ South 1st & Riverside,active,Presented by Austin Energy,9,2021-01-04 12:00:00.000000 UTC
2561,State Capitol Visitors Garage @ San Jacinto & 12th,active,1201 San Jacinto Blvd.,1,2021-01-04 12:00:00.000000 UTC
2571,Red River & 8th Street,active,761 Red River St.,9,2021-01-04 12:00:00.000000 UTC
3455,Republic Square @ 5th & Guadalupe,closed,Federal Courthouse Plaza,9,2022-03-04 10:24:00.000000 UTC
3513,South Congress & Barton Springs at the Austin American-Statesman,active,305 S. Congress Ave.,9,2021-01-04 12:00:00.000000 UTC
3790,Lake Austin Blvd @ Deep Eddy,active,2401 Lake Austin Blvd,10,2021-01-04 12:00:00.000000 UTC
4060,Red River/Cesar Chavez @ The Fairmont,active,101 Red River St.,9,2021-01-04 12:00:00.000000 UTC
2496,8th & Congress,active,111 E. 8th St.,9,2021-01-04 12:00:00.000000 UTC
